manga,author,publisher,demographic,num_of_vol,serialized,sales,sales_per_vol,genre,isbn_10,isbn_13,description,cover_image_url,tags,rating_avg,year,year_bucket,amazon_link
Chihayafuru,Yuki Suetsugu,Kodansha,Josei,50,2007–2022,27million,0.53 million,Drama,,9.78168E+12,"Both the Mizusawa High Karuta Club and Hokuou Academy have made it out of the Tokyo qualifiers, one of the toughest districts across the country. They go next to Omi Shrine for the finals, aiming to win it all. There they find a daunting wall consisting of unconventional tactics and the extraordinary players who use them. Mizusawa's goal has always been to be the best in Japan, a distant dream that can only be attained by a tenacious team that puts in the effort to win their way through the tournament. Chihaya and the rest believe in themselves and in their friends as the battle begins!",http://books.google.com/books/content?id=Ixh0DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Karuta, Female Protagonist, Josei, Coming of Age, School Club",86,2007,2000s,https://www.amazon.com/s?k=9781682335673
Space Brothers,Chūya Koyama,Kodansha,Seinen,42,2007–present,28million,0.67 million,Science Fiction,,9.78168E+12,"Two brothers looked to the starry skies as children and made a promise ... Now, in the year 2025, the younger brother, Hibito, is carrying his out. He is an astronaut who has been selected as a crew member for mankind’s first long-term base on the moon. Meanwhile, the older brother, Mutta, has just been fired from his job and is unemployed, but decides to trust himself just one last time. A text message from Hibito sends him applying to be an astronaut too and shooting for the stars ",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx44483-j8urUUmaCOaD.jpg,"Space, Educational, Seinen, Work, Astronomy",86,2007,2000s,https://www.amazon.com/s?k=9781682330388
Black Butler,Yana Toboso,Square Enix,Shōnen,32,2006–present,32million,1.00 million,Fantasy,,9.78032E+12,"In Victorian era Europe, a young boy loses everything he once held near and dear to a vicious plot. In his moment of death, he strikes a deal with a demon: his soul, in exchange for revenge. Ciel Phantomhive is now the head of the Phantomhive corporation, handling all business affairs as well as the underground work for the Queen of England. His new partner is a demon butler, Sebastian Michaelis, whose prowess as a butler is only surpassed by his strength as a demon. The story follows the two along with their other servants, as they work to unravel the plot behind Ciel's parents' murder, and the horrendous tragedies that befell Ciel in the month directly after.",http://books.google.com/books/content?id=3Ls4rgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Demons, Revenge, Tragedy, Crime, Historical",81,2006,2000s,https://www.amazon.com/s?k=9780316080842
Kingdom,Yasuhisa Hara,Shueisha,Seinen,66,2006–present,92million,1.39 million,Historical,, 9784088770796,"Xin’s quest begins when his friend Piao, another war orphan who shares his dream of becoming a great general, is taken away by a mysterious minister to the capital, and Xin is left to work and train on his own. But one fateful night, Piao returns bloodied and on the brink of death, with his dying words being for Xin to carry on their dreams and meet a certain person in a nearby village. Xin rushes to fulfill Piao’s final request, only to meet a boy who looks exactly like Piao. But this is no ordinary boy—it’s the king of Qin, Ying Zheng! And assassins are hot on his tail!",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/nx46765-KPXir4sRqJBW.png,"Military, Historical, War, Ancient China, Royal Affairs",89,2006,2000s,https://www.amazon.com/s?k= 9784088770796
Fairy Tail,Hiro Mashima,Kodansha,Shōnen,63,2006–2017,72million,1.14 million,Adventure,1632366096,9.78163E+12,"Cute girl wizard Lucy wants to join the Fairy Tail, a club for the most powerful wizards. But instead her ambitions land her in the clutches of a gang of unsavory pirates led by a devious magician. Her only hope is Natsu, a strange boy she happens to meet on her travels. Natsu’s not your typical hero—he gets motion sickness, eats like a pig, and his best friend is a talking cat. With friends like this, is Lucy better off with her enemies?",http://books.google.com/books/content?id=pY6QEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Ensemble Cast, Magic, Shounen, Dragons, Found Family
",70,2006,2000s,https://www.amazon.com/s?k=9781632366092
Reborn!,Akira Amano,Shueisha,Shōnen,42,2004–2012,30million,0.71 million,Action,1421506718,9.78142E+12,"Tsunayoshi Sawada (Tsuna for short) is a cowardly junior high student who doesn't excel at academics or sports. He only attends school so he can stare at his beautiful classmate Kyoko from afar. But Tsuna's life takes a dramatic turn when Reborn, a suit-wearing, gun-toting baby who claims to be an Italian hit man, shows up at his house. Reborn was sent to Japan to groom Tsuna for his future life as a big Mafia boss. Tsuna doesn't believe this absurd story, so Reborn shoots Tsuna in the head with his gun. As Tsuna faces his own death, he's filled with regret that he never confessed his feelings to Kyoko...and suddenly he's overcome with supernatural powers that allow him to run off screaming to tell Kyoko how much he loves her. After five minutes, Tsuna goes back to normal. Reborn explains how his gun works: when he shoots a person in the head, if that person has regrets about her life, then she will die and be reborn, temporarily endowed with special powers that enable her to fix or solve whatever is the source of her regret. (If Reborn shoots someone who is free of regret, she would die.) Tsuna becomes Reborn's disciple, and because Reborn shoots Tsuna in the head all the time, he is constantly being reborn and growing into a stronger and better person, gradually impressing those around him and making friends.",http://books.google.com/books/content?id=BWM6GQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Mafia, Shounen, Super Power, Male Protagonist, School",77,2004,2000s,https://www.amazon.com/s?k=9781421506715
Death Note,"Tsugumi Ohba, Takeshi Obata",Shueisha,Shōnen,12,2003–2006,30million,2.50 million,Mystery,1421501686,9.78142E+12,"Light Yagami is an ace student with great prospects—and he’s bored out of his mind. But all that changes when he finds the Death Note, a notebook dropped by a rogue Shinigami death god. Any human whose name is written in the notebook dies, and Light has vowed to use the power of the Death Note to rid the world of evil. But will Light succeed in his noble goal, or will the Death Note turn him into the very thing he fights against?",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30021-FE6kmrfpuKyb.jpg,"Detective, Tragedy, Anti-Hero, Police, Urban Fantasy",84,2003,2000s,https://www.amazon.com/s?k=9781421501680
Bleach,Tite Kubo,Shueisha,Shōnen,74,2001–2016,130million,1.75 million,Action,1591164418,9.78159E+12,"Ichigo Kurosaki has always been able to see ghosts, but this ability doesn't change his life nearly as much as his close encounter with Rukia Kuchiki, a Soul Reaper and member of the mysterious Soul Society. While fighting a Hollow, an evil spirit that preys on humans who display psychic energy, Rukia attempts to lend Ichigo some of her powers so that he can save his family; but much to her surprise, Ichigo absorbs every last drop of her energy. Now a full-fledged Soul Reaper himself, Ichigo quickly learns that the world he inhabits is one full of dangerous spirits and, along with Rukia--who is slowly regaining her powers--it's Ichigo's job to protect the innocent from Hollows and help the spirits themselves find peace. -- VIZ Media",http://books.google.com/books/content?id=FQTwAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Shounen, Swordplay, Super Power, Ghost, War",79,2001,2000s,https://www.amazon.com/s?k=9781591164418
Fullmetal Alchemist,Hiromu Arakawa,Enix (2001–2003)Square Enix (2003–2010),Shōnen,27,2001–2010,80million,2.96 million,Adventure,031628548X,9.78032E+12,"Alchemy tore the Elric brothers’ bodies apart. Can their bond make them whole again? In this world, alchemists are those who study and perform the art of alchemical transmutation—the science of manipulating and transforming matter. They are bounded by the Law of Equivalent Exchange: in order to gain something, one must sacrifice something of equal value. In an alchemical ritual gone wrong, Edward Elric lost his arm and his leg, and his brother Alphonse became nothing but a soul in a suit of armor. Equipped with mechanical “auto-mail” limbs, Edward becomes a state alchemist, seeking the one thing that can restore his and his brother’s bodies...the legendary Philosopher’s Stone.",http://books.google.com/books/content?id=zqw8AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Alchemy, Conspiracy, Politics, Philosophy, Military",89,2001,2000s,https://www.amazon.com/s?k=9780316285483
Hunter × Hunter,Yoshihiro Togashi,Shueisha,Shōnen,37,1998–present,84million,2.33 million,Adventure,1591167531,9.78159E+12,"Gon might be a country boy, but he has high aspirations. Despite his Aunt Mito's protests, Gon decides to follow in his father's footsteps and become a legendary Hunter. The Hunter hopefuls begin their journey by storm-tossed ship, where Gon meets Leorio and Kurapika, the only other applicants who aren't devastated by bouts of seasickness. Having survived the terrors of the high seas, Gon and his companions now have to prove their worth in a variety of tests in order to find the elusive Exam Hall. And once they get there, will they ever leave alive...?",http://books.google.com/books/content?id=WUbxAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Shounen, Super Power, Cultivation, Ensemble Cast, Travel
",88,1998,,https://www.amazon.com/s?k=9781591167532
Fruits Basket,Natsuki Takaya,Hakusensha,Shōjo,23,1998–2006,30million,1.30 million,Romance,,9.78032E+12,"After a family tragedy turns her life upside down, plucky high schooler Tohru Honda takes matters into her own hands and moves out...into a tent! Unfortunately for her, she pitches her new home on private land belonging to the mysterious Sohma clan, and it isn't long before the owners discover her secret. But, as Tohru quickly finds out when the family offers to take her in, the Sohmas have a secret of their own--when touched by the opposite sex, they turn into the animals of the Chinese Zodiac!
",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30102-MJuQ0e0k2CgU.png,"Shoujo, Mythology, Animals, Tragedy, Ensemble Cast",85,1998,classic,https://www.amazon.com/s?k=9780316360166
Vagabond,Takehiko Inoue,Kodansha,Seinen,37,1998–2015 (on hiatus),82million,2.21 million,Historical,,9.78142E+12,"At seventeen years of age, Miyamoto Musashi--still known by his childhood name, Shinmen Takezo--was a wild young brute just setting out along the way of the sword. In the aftermath of the epic Battle of Sekigahara, Takezo finds himself a fugitive survivor on the losing side of the war. Takezo's vicious nature has made him an outcast even in his own village, and he is hunted down like an animal. At this crucial crossroads in Takezo's life, an eccentric monk and a childhood friend are the only ones who can help him find his way.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30656-9mW113O7rDnA.png,"Seinen, Samurai, Swordplay, Historical, Travel",91,1998,classic,https://www.amazon.com/s?k=9781421520544
Naruto,Masashi Kishimoto,Shueisha,Shōnen,72,1999–2014,250million,3.47 million,Action,,9.78157E+12,"Before Naruto's birth, a great demon fox had attacked the Hidden Leaf Village. A man known as the 4th Hokage sealed the demon inside the newly born Naruto, causing him to unknowingly grow up detested by his fellow villagers. Despite his lack of talent in many areas of ninjutsu, Naruto strives for only one goal: to gain the title of Hokage, the strongest ninja in his village. Desiring the respect he never received, Naruto works towards his dream with fellow friends Sasuke and Sakura and mentor Kakashi as they go through many trials and battles that come with being a ninja.",http://books.google.com/books/content?id=bQbwAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Super Power, Shounen, Male Protagonist, Ninja, Henshin",59,1997,classic,https://www.amazon.com/s?k=9781569319000
One Piece,Eiichiro Oda,Shueisha,Shōnen,104,1997–present,516.6 million,4.97 million,Adventure,142154525X,9.78142E+12,"As a child, Monkey D. Luffy was inspired to become a pirate by listening to the tales of the buccaneer ""Red-Haired"" Shanks. But his life changed when Luffy accidentally ate the Gum-Gum Devil Fruit and gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, still vowing to become the king of the pirates, Luffy sets out on his adventure...one guy alone in a rowboat, in search of the legendary ""One Piece,"" said to be the greatest treasure in the world",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30013-BeslEMqiPhlk.jpg,"Pirates, Found Family, Travel, Shounen, Ensemble Cast",91,1997,classic,https://www.amazon.com/s?k=9781421545257
Red River,Chie Shinohara,Shogakukan,Shōjo,28,1995–2002,20million,0.71 million,Historical,159116429X,9.78159E+12,"Yuri, a pretty Japanese girl, is ecstatic after passing her college entrance exam and having her first kiss with her childhood friend-turned boyfriend. However, her luck soon changes. She starts to notice that water becomes agitated whenever she goes near it. One night, hands appear out of a puddle on the street and drag her into the water! Transported to an ancient village in the Middle East, she is then captured by armed troops and taken to the Queeen's palace for a human sacrifice.",http://books.google.com/books/content?id=BS_zAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Historical, Foreign, Female Protagonist, Shoujo, Royal Affairs",76,1995,classic,https://www.amazon.com/s?k=9781591164296
Detective Conan,Gosho Aoyama,Shogakukan,Shōnen,102,1994–present,250million,2.45 million,Mystery,142156274X,9.78142E+12,"Ghastly beheadings, bloody murders, and coldhearted child abductions-- Precocious high school student Jimmy Kudo uses his keen powers of observation and astute intuition to solve mysteries that have left law enforcement officials baffled. Hot on the trail of a suspect, Jimmy is accosted from behind and fed a strange chemical which physically transforms him into a grade schooler! Taking on the pseudonym Conan Edogawa, he attempts to track down the people who did this to him. But until he finds a cure for his bizarre condition, Jimmy continues to help the police solve their toughest cases. Can you crack the case before Conan does?",http://books.google.com/books/content?id=_S3yAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Detective, Crime, Age Regression, Police, Male Protagonist",82,1994,classic,https://www.amazon.com/s?k=9781421562742
Monster,Naoki Urasawa,Shogakukan,Seinen,18,1994–2001,20million,1.11 million,Thriller,1591166411,9.78159E+12,"Dr. Kenzo Tenma saves the life of Johan, a young boy who grows up to become a serial killer with secret ties to the government, and Tenma, finding himself implicated as the main suspect in a series of murders, sets out to find and stop Johan.",http://books.google.com/books/content?id=I-5yngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Seinen, Conspiracy, Tragedy, Philosophy, Amnesia",90,1994,classic,https://www.amazon.com/s?k=9781591166412
Rurouni Kenshin,Nobuhiro Watsuki,Shueisha,Shōnen,28,1994–1999,72million,2.57 million,Historical,1421592452,9.78142E+12,"The beloved landmark tale of a Meiji-era swordsman’s quest for redemption. Action, romance and historical intrigue help make Nobuhiro Watsuki’s Rurouni Kenshin, the tale of a wandering swordsman set against the backdrop of the Meiji Restoration, one of the most popular manga titles of all time! Himura Battōsai was once an assassin of ferocious power during the violent upheaval of the Bakumatsu era. But as the Meiji Restoration heals the wounds of civil war, Battōsai takes up a new name and a new calling. As Himura Kenshin, he fights only to protect the honor of those in need.",http://books.google.com/books/content?id=LHDyvQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Swordplay, Historical, Samurai, Shounen, Heterosexual",82,1994,classic,https://www.amazon.com/s?k=9781421592459
The Kindaichi Case Files,"Yōzaburō Kanari, Seimaru Amagi, Fumiya Satō",Kodansha,Shōnen/Seinen,87,1992–present,100million,1.15 million,Mystery,1415559368,9.78142E+12,"A famous writer holds a code-breaking contest, and Hajime Kindaichi naturally rises to the literary challenge. But when the writer is murdered, Kindaichi finds himself as the primary suspect! Will Kindaichi be able to creack the code and find the real killer before the final chapter is written?",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30393-1OQNCv5LIsx8.jpg,"Detective, Male Protagonist, Shounen, Acting, Nudity",76,1992,classic,https://www.amazon.com/s?k=9781415559369
Baki the Grappler,Keisuke Itagaki,Akita Shoten,Shōnen,143,1991–present,85million,0.59 million,Action,1966523009,9.78197E+12,"A seventeen-year-old boy with a white belt enters a karate tournament and shakes the foundations of Japan’s martial arts scene. As he effortlessly defeats his opponents, the world’s top fighters are left to ask: just who is this bizarrely strong young man, and what is he trying to achieve?",http://books.google.com/books/content?id=Eb5f0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Martial Arts, Male Protagonist, Revenge, Primarily Male Cast, Gore",77,1991,classic,https://www.amazon.com/s?k=9781966523000
Crayon Shin-chan,"Yoshito Usui, UY Team",Futabasha,Seinen,61,1990–present,148million,2.55 million,Comedy,1588991942,9.78159E+12,"Shinnosuke Nohara might look like an innocent little kid, but anyone whose dealt with kids know they're anything but innocent. Relentlessly sassing the adults around him, pulling perverted pranks, and driving people to tears with embarrassment, Crayon Shinchan's the ""kindergartener from hell,"" a five-year-old boy whose bodily functions, offensive comments, and outrageous behavior consistently annoy everyone around him. A national phenomenon in Japan, this shocking and hilarious comic celebrates the terrible power of destruction and indecency wielded by toddlers everywhere!",http://books.google.com/books/content?id=FAbRuQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"School, Family Life, Episodic, Male Protagonist, Seinen",74,1990,classic,https://www.amazon.com/s?k=9781588991942
Slam Dunk,Takehiko Inoue,Shueisha,Shōnen,31,1990–1996,170million,5.48 million,Sports,1421506793,9.78142E+12,"Hanamichi Sakuragi's got no game with girls--none at all! It doesn't help that he's known for throwing down at a moment's notice and always coming out on top. A hopeless bruiser, he's been rejected by 50 girls in a row! All that changes when he meets the girl of his dreams, Haruko, and she's actually not afraid of him! When she introduces him to the game of basketball, his life is changed forever",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30051-5KJyPlO7z5F4.png,"Basketball, Male Protagonist, Primarily Male Cast, Ensemble Cast, Shounen",90,1990,classic,https://www.amazon.com/s?k=9781421506791
Hajime no Ippo,George Morikawa,Kodansha,Shōnen,134,1989–present,100million,0.74 million,Sports,2368527982,9.78237E+12,"Makunouchi Ippo has been bullied his entire life. Constantly running errands and being beaten up by his classmates, Ippo has always dreamed of changing himself, but never has the passion to act upon it. One day, in the midst of yet another bullying, Ippo is saved by Takamura Mamoru, who happens to be a boxer. Ippo faints from his injuries and is brought to Takamura boxing gym to recover. As he regains consciousness, he is awed and amazed at his new surroundings in the gym, though lacks confidence to attempt anything. Takamura places a photo of Ippo’s classmate on a punching bag and forces him to punch it. It is only then that Ippo feels something stir inside him and eventually asks Takamura to train him in boxing. Thinking that Ippo does not have what it takes, Takamura gives him a task deemed impossible and gives him a one week time limit. With a sudden desire to get stronger, for himself and his hard working mother, Ippo trains relentlessly to accomplish the task within the time limit. Thus Ippo’s journey to the top of the boxing world begins.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/nx30007-jVUNk721L0Uz.jpg,"Boxing, Shounen, Male Protagonist, Primarily Male Cast, Primarily Adult Cast",87,1989,classic,https://www.amazon.com/s?k=9782368527986
Bad Boys,Hiroshi Tanaka,Shōnen Gahōsha,Seinen,22,1988–1996,55million,2.50 million,Action,1974723402,9.78197E+12,"Tsukasa, Yoji, and Eiji are friends and members of the motorcycle gang called the Paradise Butterflies. Riding the streets of Hiroshima their goal in life is to top all other gangs in their city.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx59911-XUQJ8HMzYYOt.png,"Delinquents, Seinen, Gangs, Nudity, Motorcycles",66,1988,classic,https://www.amazon.com/s?k=9781974723409
Ranma ½,Rumiko Takahashi,Shogakukan,Shōnen,38,1987–1996,55million,1.44 million,Comedy,1421565943,9.78142E+12,"One day, teenaged martial artist Ranma Saotome went on a training mission with his father and ended up taking a dive into some cursed springs at a legendary training ground in China. Now, every time he’s splashed with cold water, he changes into a girl. His father, Genma, changes into a panda! What’s a half-guy, half-girl to do? Years ago, Genma promised his old friend Soun Tendo that Ranma would marry one of Soun’s three daughters and carry on the family’s martial arts school. Except that the girl picked to be Ranma’s bride doesn’t seem to like him, Ranma keeps getting into fights…and did we mention that whole changing into a girl thing?",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30023-NWoD28ZKC73c.jpg,"Gender Bending, Love Triangle, Ensemble Cast, Henshin, Martial Arts",77,1987,classic,https://www.amazon.com/s?k=9781421565941
Yawara!,Naoki Urasawa,Shogakukan,Seinen,29,1986–1993,30million,1.03 million,Sports,,,"Yawara Inokuma is a talented judoka raised and trained by her grandfather Jigoro. Her grandfather says she's supposed to become the hope of Japan's judo team in Seoul in 1988, but she has different plans: to finish high school and find a boyfriend... like all her friends. But being a normal girl and an Olympic champion are two different things. Which path will she choose to follow?",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30853-kif2buZKAOf0.jpg,"Judo, Martial Arts, Coming of Age, Athletics, Female Protagonist",69,1986,classic,https://www.amazon.com/s?k=nan
Dragon Ball,Akira Toriyama,Shueisha,Shōnen,42,1984–1995,350million,8.33 million,Action,1421545756,9.78142E+12,"Before there was Dragon Ball Z, there was Akira Toriyama's action epic Dragon Ball, starring the younger version of Son Goku and all the other Dragon Ball Z heroes! Meet a naive young monkey-tailed boy named Goku, whose quiet life changes when he meets Bulma, a girl who is on a quest to collect seven ""Dragon Balls."" If she gathers them all, an incredibly powerful dragon will appear and grant her one wish. But the precious orbs are scattered all over the world, and Bulma needs Goku's help (and his super-strength)! With a magic staff for a weapon and a flying cloud for a ride, Goku sets out on the adventure of a lifetime...",http://books.google.com/books/content?id=RXnwAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Martial Arts, Shounen, Travel, Super Power, Male Protagonist",83,1984,classic,https://www.amazon.com/s?k=9781421545752
Fist of the North Star,"Buronson, Tetsuo Hara",Shueisha,Shōnen,27,1983–1988,100million,3.70 million,Action,1974728269,9.78197E+12,"One day, a wanderer appears out of the wasteland to bring justice to the guilty and hope to the people—a warrior named Ken, a man who bears seven scars upon his chest and holds the secret of a mysterious martial art known as Hokuto Shinken, the Divine Fist of the North Star! -- VIZ Media",http://books.google.com/books/content?id=FBcxEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Male Protagonist, Post-Apocalyptic, Martial Arts, Shounen, Tragedy",79,1983,classic,https://www.amazon.com/s?k=9781974728268
